"","id","wd","hour","load"
"365","SM20R-01-0000063D",2,4,0.0816996047430806
"366","SM20R-01-0000063D",2,5,0.100339781746028
"367","SM20R-01-0000063D",2,6,0.130633928571436
"368","SM20R-01-0000063D",2,7,0.190733630952373
"369","SM20R-01-0000063D",2,8,0.275898904382467
"370","SM20R-01-0000063D",2,9,0.362287350597606
"371","SM20R-01-0000063D",2,10,0.436826195219124
"372","SM20R-01-0000063D",2,11,0.480854999999995
"373","SM20R-01-0000063D",2,12,0.447493551587305
"374","SM20R-01-0000063D",2,13,0.419631972111551
"375","SM20R-01-0000063D",2,14,0.347891326530617
"376","SM20R-01-0000063D",2,15,0.308254687500003
"377","SM20R-01-0000063D",2,16,0.402721036585369
"378","SM20R-01-0000063D",2,17,0.25645734126983
"379","SM20R-01-0000063D",2,18,0.324577876984136
"380","SM20R-01-0000063D",2,19,0.414147058823529
"381","SM20R-01-0000063D",2,20,0.319103515624991
"382","SM20R-01-0000063D",2,21,0.236965820312508
"383","SM20R-01-0000063D",2,22,0.140529785156248
"384","SM20R-01-0000063D",2,23,0.105666666666678
"385","SM20R-01-0000063D",3,0,0.088087301587281
"386","SM20R-01-0000063D",3,1,0.0803655753968302
"387","SM20R-01-0000063D",3,2,0.0751334325396683
"388","SM20R-01-0000063D",3,3,0.0833387254901945
"389","SM20R-01-0000063D",3,4,0.0808935546874969
"390","SM20R-01-0000063D",3,5,0.0912680664062672
"391","SM20R-01-0000063D",3,6,0.113415527343745
"392","SM20R-01-0000063D",3,7,0.129722933070869
"393","SM20R-01-0000063D",3,8,0.145694940476187
"394","SM20R-01-0000063D",3,9,0.161896329365086
"395","SM20R-01-0000063D",3,10,0.189286852589639
"396","SM20R-01-0000063D",3,11,0.223755522088355
"397","SM20R-01-0000063D",3,12,0.215995535714281
"398","SM20R-01-0000063D",3,13,0.214357638888902
"399","SM20R-01-0000063D",3,14,0.181696924603151
"400","SM20R-01-0000063D",3,15,0.152216269841271
"401","SM20R-01-0000063D",3,16,0.132107638888905
"402","SM20R-01-0000063D",3,17,0.173973710317467
"403","SM20R-01-0000063D",3,18,0.294777888446212
"404","SM20R-01-0000063D",3,19,0.352683764940241
"405","SM20R-01-0000063D",3,20,0.312114583333333
"406","SM20R-01-0000063D",3,21,0.211526892430268
"407","SM20R-01-0000063D",3,22,0.631179282868523
"408","SM20R-01-0000063D",3,23,0.0978695436507968
"409","SM20R-01-0000063D",4,0,0.0846954365079492
"410","SM20R-01-0000063D",4,1,0.0795486111111064
"411","SM20R-01-0000063D",4,2,0.0763876008064419
"412","SM20R-01-0000063D",4,3,0.0781985887096803
"413","SM20R-01-0000063D",4,4,0.0790519153225952
"414","SM20R-01-0000063D",4,5,0.0810581983805608
"415","SM20R-01-0000063D",4,6,0.091758064516126
"416","SM20R-01-0000063D",4,7,0.122460657370522
"417","SM20R-01-0000063D",4,8,0.158278112449806
"418","SM20R-01-0000063D",4,9,0.185733163265306
"419","SM20R-01-0000063D",4,10,0.206550607287453
"420","SM20R-01-0000063D",4,11,0.22255594758064
"421","SM20R-01-0000063D",4,12,0.217390624999979
"422","SM20R-01-0000063D",4,13,0.203306451612906
"423","SM20R-01-0000063D",4,14,0.196928643724701
"424","SM20R-01-0000063D",4,15,0.269598393574289
"425","SM20R-01-0000063D",4,16,0.173649305555551
"426","SM20R-01-0000063D",4,17,0.180595734126981
"427","SM20R-01-0000063D",4,18,0.294335657370516
"428","SM20R-01-0000063D",4,19,0.369411646586347
"429","SM20R-01-0000063D",4,20,0.329177579365079
"430","SM20R-01-0000063D",4,21,0.233164186507937
"431","SM20R-01-0000063D",4,22,0.146915836653393
"432","SM20R-01-0000063D",4,23,0.100077116935469
"433","SM20R-01-0000063D",5,0,0.0858639112903258
"434","SM20R-01-0000063D",5,1,0.0803346774193532
"435","SM20R-01-0000063D",5,2,0.0768452380952397
"436","SM20R-01-0000063D",5,3,0.0755069444444524
"437","SM20R-01-0000063D",5,4,0.078424499999992
"438","SM20R-01-0000063D",5,5,0.0827574404761937
"439","SM20R-01-0000063D",5,6,0.0895609999999928
"440","SM20R-01-0000063D",5,7,0.112604251012151
"441","SM20R-01-0000063D",5,8,0.138107287449382
"442","SM20R-01-0000063D",5,9,0.165747991967882
"443","SM20R-01-0000063D",5,10,0.176241071428567
"444","SM20R-01-0000063D",5,11,0.199755413385836
"445","SM20R-01-0000063D",5,12,0.215098039215683
"446","SM20R-01-0000063D",5,13,0.167677579365068
